,Time,Distance,Probability
0,0,16,0.054570259208731244
1,250,16,0.5995907230559345
2,500,16,0.6207366984993179
3,750,16,0.6384720327421555
4,1000,16,0.6521145975443383
5,1250,16,0.6575716234652115
6,1500,16,0.6637107776261937
7,1750,16,0.6712141882673943
8,2000,16,0.6753069577080492
9,2250,16,0.6821282401091405
10,2500,16,0.6869031377899045
11,2750,16,0.6889495225102319
12,3000,16,0.6903137789904502
13,3250,16,0.6930422919508867
14,3500,16,0.699181446111869
15,3750,16,0.7019099590723056
16,4000,16,0.7032742155525239
17,4250,16,0.7032742155525239
18,4500,16,0.703956343792633
19,4750,16,0.7073669849931787
20,5000,16,0.7073669849931787
